,license_plate,kreis_key,income_pp_2000,income_pp_2001,income_pp_2002,income_pp_2003,income_pp_2004,income_pp_2005,income_pp_2006,income_pp_2007,income_pp_2008,income_pp_2009,income_pp_2010,income_pp_2011,income_pp_2012,income_pp_2013,income_pp_2014,income_pp_2015,income_pp_2016,income_pp_2017,income_pp_2018,income_2000,income_2001,income_2002,income_2003,income_2004,income_2005,income_2006,income_2007,income_2008,income_2009,income_2010,income_2011,income_2012,income_2013,income_2014,income_2015,income_2016,income_2017,income_2018,crimes_2013,crimes_2014,crimes_2015,crimes_2016,crimes_2017,crimes_2018,crimes_2019,crimes_2020,population_1995,population_1996,population_1997,population_1998,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,kreis_name
0,AM,9361,16120,16451,16433,16878,17318,17724,18326,18841,19117,18817,19195,19973,20392,20346,20611,21633,20658,21008,21981,688440,708141,711265,732356,751368,767809,790620,807552,814675,795648,807233,837094,850035,846101,856661,902038,869808,888598,925593,3009.0,3073.0,2961.0,2899.0,2867.0,2878.0,2564.0,2337.0,43906,43398,43176,43135,43234,43593,44064,44277,44614,44641,44641,44506,44306,44164,43902,43755,41912,41684,41585,41564,41698,42105,42298,42109,42089,      Amberg
1,AN,9561,17507,18162,17736,17849,18038,18022,17955,18110,18482,18139,18890,19606,20672,19867,20149,20692,21456,21853,22559,696878,724576,710260,716825,723623,721622,717463,720411,734991,721603,748954,775871,819497,789933,804451,839782,887129,908903,941827,2772.0,2993.0,3130.0,3294.0,3229.0,3116.0,3191.0,3078.0,39673,39919,39849,39818,40020,40200,40273,40460,40631,40680,40580,40531,40371,40348,40406,40374,39574,39642,39762,39925,40585,41346,41592,41750,41823,      Ansbach
2,AB,9661,17228,17972,17975,18703,19305,19802,20393,20802,21158,20492,20996,21735,21986,22312,22703,23179,23033,23377,24114,1147771,1208157,1216924,1267301,1307096,1339852,1378207,1404598,1428188,1382717,1414700,1464893,1485714,1511934,1543934,1589542,1591277,1626090,1693511,6053.0,5699.0,5972.0,5524.0,5248.0,5127.0,5359.0,5182.0,66194,66257,66486,66908,67013,67209,68018,68558,68724,68618,68749,68645,68666,68726,68699,68706,67398,67576,67763,68006,68577,69087,69558,70228,70765,      Aschaffenburg
3,A,9761,15590,16010,15969,16279,16471,16432,16547,16754,17136,16925,17499,17955,18551,18705,18661,19187,19192,19415,20053,3995062,4128645,4154077,4248013,4309797,4330116,4379859,4439286,4549466,4501143,4667954,4818658,5028317,5136862,5203124,5444237,5526772,5654038,5895422,22297.0,23188.0,25659.0,22876.0,20899.0,21206.0,21404.0,20397.0,260905,259078,257542,255618,254739,254781,256244,258626,259315,259218,262085,262492,262437,262924,263195,263903,268376,271051,274621,278827,283743,287979,291218,293993,295859,      Augsburg
4,BAD,8211,25133,25229,23987,23945,23923,25003,26262,27180,27430,26185,26527,27512,28208,28201,28121,28976,30866,31944,32416,1297433,1305601,1249913,1255601,1260072,1322656,1394112,1443974,1453589,1380356,1391511,1441731,1481063,1489000,1495407,1557507,1674011,1741361,1780320,3972.0,4243.0,4630.0,4315.0,4270.0,4170.0,5813.0,5553.0,52658,52871,52834,52610,52587,52679,52900,53387,53817,54133,54453,54734,54855,54862,54675,54456,52404,52505,52799,53177,53751,54234,54513,54921,55154,"      Baden-Baden, Stadtkreis"
5,BA,9461,16990,17277,17051,17301,17488,17606,17960,18153,18593,18268,18810,19449,19765,20032,20446,21263,21523,21478,22047,1177694,1201480,1192169,1214432,1230691,1241062,1262433,1274704,1309942,1287083,1325880,1374057,1399100,1422573,1463149,1544623,1604228,1642193,1706165,5540.0,5744.0,6314.0,6791.0,7599.0,13246.0,7917.0,7865.0,69935,69680,69569,69227,69014,69025,69187,69539,69845,69880,69983,69746,69665,69894,69773,69876,70651,70788,71015,71560,72642,74537,76461,77386,77483,      Bamberg
6,BT,9462,15820,16366,16617,17307,17914,18163,18583,18882,19285,19126,19740,20285,19798,19884,19876,20241,20262,20454,21069,1157024,1200012,1220200,1272008,1314992,1324310,1343733,1355254,1377024,1359100,1398582,1440997,1412553,1422224,1422837,1454801,1471167,1504014,1566049,5018.0,5198.0,5563.0,7864.0,5501.0,5226.0,4923.0,4784.0,72929,73347,73669,73685,73838,73811,74072,74395,74505,74514,74192,73617,73130,72811,72456,72376,71038,71348,71527,71587,71875,72607,73532,74328,74720,      Bayreuth
7,B,11000,15154,15505,15404,15349,15873,16003,16486,16629,17051,17339,17512,17909,18043,18239,18407,19036,19484,20249,20972,49990767,51014207,50618809,50300948,51837633,52176347,53741678,54230750,55685357,56688731,57337097,59136984,60456115,61985727,63427666,66528944,69116667,72779892,76112218,503164.0,543157.0,569550.0,568860.0,520436.0,511677.0,513426.0,504142.0,3471003,3466524,3445033,3414293,3393324,3384146,3385149,3390291,3391515,3387545,3391784,3399896,3407625,3424638,3434580,3446972,3302174,3350612,3398526,3445839,3494940,3547431,3594163,3629161,3657159,  Berlin
8,BI,5711,16439,17081,17111,17584,17862,17741,17832,17660,18377,18058,18788,19339,19161,19800,20948,20687,21702,22175,23037,5315535,5545491,5584630,5786702,5910232,5859894,5873563,5802240,6020684,5903063,6141968,6326818,6280270,6505913,6898615,6856428,7232551,7384259,7675232,26001.0,27942.0,28029.0,28494.0,26370.0,23242.0,22322.0,23213.0,324067,324099,323678,322528,321479,321322,322549,323887,327329,328214,327300,326336,325184,324115,323006,323049,327151,327757,328589,329323,331436,333271,333002,333169,333991,"      Bielefeld, kreisfreie Stadt"
9,BO,5911,15100,15784,15791,16092,16332,16412,16575,16692,17168,16880,17292,17784,17962,17997,18366,18784,18936,19415,20048,5831821,6065332,6040836,6124322,6200971,6209041,6224862,6225497,6349392,6189422,6297132,6452817,6509484,6514363,6645050,6824397,6908263,7090845,7319098,38342.0,36920.0,38044.0,35357.0,32207.0,32020.0,29764.0,27669.0,400762,399432,397152,394537,393033,391979,390476,389260,387959,388401,386671,384650,382333,379907,377205,375302,362835,362399,361974,361805,363309,364831,365225,365079,365108,"      Bochum, kreisfreie Stadt"
